지번 주소,토지면적(㎡),연면적(㎡),용도지역,주구조,주용도,층수,세대/가구/호,주차대수,사용승인일,인접역,거리(m),매가(만원),보증금(만원),월세(만원),실투자금,융자제외수익률(%),광고(자동완성),사진링크,지도,대표사진,대표
금천구 시흥동 930-49,119.40,170.64,제1종전용주거지역,철근콘크리트구조,단독주택,-1/2,0/3/0,0,1988-11-17,시흥사거리역(예정),1300,51000,9600,80,41400,2.3,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 시흥동 오미생태공원 인근 5억원대 다가구 매매
- 실투자 4억대로 주인세대 입주 가능
- 전통시장, 주민센터 도보 이용 가능
- 신안산선 호재와 노후도 높은 지역으로 향후 개발 기대
- 매매금액 : 5억 1000만원
- 임대내역 : 보증금 9600만원/월세 80만원 (관리비포함)
- 건물현황 : 지층 투룸 2, 1층 투룸 2, 2층 3룸 1

- 대지면적 : 119.4㎡(약36.2평) / 연면적 : 170.64㎡(약51.7평)
- 층수 : 지하1층/지상2층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 남서향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제1종전용주거지역
- 위반건축물 : X
- 사용승인일 : 1988-11-17
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=16M5gBSiMSlxqqwbxDi9pVAsvaGOSFNNB&usp=drive_fs,https://map.kakao.com/link/search/금천구시흥동930-49,KakaoTalk_20241219_152649824.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/pN5-pm2dk59IDcPboqS8kA/xP1MbSBpX6oXjIfZy-tG3rUuMlmZ7m5YeITASX9cyq6yea9dxqxDRtkazl7p-WS-RcFA3mJbtvP81UmOZZ49G4eCMzbxWE5zcVU9475k4o6_Ir90pTe7WbfgAd0kUO2Zx-Lesc1ZE8pMMoSPwH-iIabPOxTBovE9QL38GSCy5quqNTMcyQzlc3PxU3FQSKQ0/wOqN5f-cBFOCm7oFg0J-WBpz6RgJdSEP689PzLVlqEE),
금천구 시흥동 843-4,119.10,173.19,제2종일반주거지역,벽돌구조,단독주택,-1/2,0/3/0,0,1989-01-18,시흥사거리역(예정),519,65000,3500,75,61500,1.5,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 신안산선 호재로 역세권 예정 다가구 매매
- 시흥사거리역(예정역) 도보 8분
- 재개발 활발한 금천구 지역 저렴하게 토지 확보 기회
- 매매금액 : 6억 5000만원
- 임대내역 : 보증금 3500만원/월세 75만원 (관리비포함)
- 건물현황 : 지층 투룸 2, 1층 투룸 2, 2층 3룸 1, 옥탑 (창고)
- 대지면적 : 119.1㎡(약36.1평) / 연면적 : 173.19㎡(약52.5평)
- 층수 : 지하1층/지상2층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 남향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1989-01-18
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1EiNqo-l5L4Et7o4qUHbODlPMsEitsU-U&usp=drive_fs,https://map.kakao.com/link/search/금천구시흥동843-4,KakaoTalk_20250605_150551446_02.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/0m7l2Q36nFsUbrFbO1D_JQ/j9cL_SmUvZYgkfulSIOqepCjB3s60wdvZwiG9Sh9Kt9tWnmiPYMVvFeGiBCPESAv_HuATUMVmZi1X0qeuwZeVBWlYQ5zNiod8idU67ASySb8WEgt7z6bOE6KVFHhC8nA6SKbNzpFWQb4oe41tE59NhpWr9KyKjaCaa4rczcChaRKPXFuM4Fw3evs79FqqwcB/v0qkr8xPIHm9O5_eOAHncT2tTGKP4htB_zOUHHRedE0),
구로구 구로동 530-54,105.00,184.65,제3종일반주거지역,벽돌구조,단독주택,-1/2,0/5/0,0,1991-11-27,구로역,751,70000,52000,35,18000,2.3,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 구로 재정비,신안산선 수혜 기대, 투자가치 우수한 다가구 주택
- 1호선 구로역 도보 12분 / 버스 8분 거리
     2·7호선 대림역도 버스로 8분
     공원 · 마트 · 은행 · 병원 · 문화센터 · 구청 등 편의시설 밀집
- 신안산선 개통시 (27년예정)  대림역 연계로 구로권 광역교통 개선 기대
- 구로역 일대 재정비 사업
     중장기적으로 주거환경 + 상권 업그레이드 예상
- 인근 산업·업무지구 수요 풍부
     G밸리, 구로디지털단지 인접으로 임대 수요 안정적
- 매매금액 : 7억 
- 임대내역 : 보증금 5억 2000만원/월세 35만원 (관리비포함)
- 건물현황 : 반지층 투룸1실, 원룸1실, 1층 투룸1실, 원룸1실, 2층 3룸
- 대지면적 : 105㎡(약31.8평) / 연면적 : 184.65㎡(약56평)
- 층수 : 지하1층/지상2층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 남동향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제3종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1991-11-27
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1nELnsUJ15Gg8rmInimOgK5dgIWxWW09n&usp=drive_fs,https://map.kakao.com/link/search/구로구구로동530-54,KakaoTalk_20250609_110536507.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/dd0unoq2GA8c2pbsxWCnnw/MvHVTLNpjmNhMLogBS03s1LXAEVOA9YiPVRoHtjSZlD4a9Qp3CqH36O4Sz2nYZyBGkhA36u7whxQC1IUIn8KMq6MLXBSYvhUUjjNaky4nnlvY_NK8BjOfnBd2r372p1ZTFFiRd4mIbz-YSXyKGcU12awJ0k4ilA6X_WRuRMSKdmW8vedJxqUz1usfmPOxjs7/RzV1WhRoqLaDQdpQfH_kr5ioPDG4o0tUkX-DVbf12M8),
구로구 가리봉동 89-114,106.00,164.27,제2종일반주거지역,벽돌구조,단독주택,-1/3,0/6/0,0,1991-05-02,남구로역,258,70000,32300,50,37700,1.6,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 남구로역 도보 4분 초역세권 실투자 3억대 다가구 매매
- 구로/가산디지털산업단지 인근으로 임대수요 넘치는 지역
- 매매금액 : 7억 
- 임대내역 : 보증금 3억 2300만원/월세 50만원 (관리비포함)
- 건물현황 : 지층 투룸 2호, 1층 투룸 2호, 2층 투룸 1호, 3층 투룸 1호
- 대지면적 : 106㎡(약32.1평) / 연면적 : 164.27㎡(약49.8평)
- 층수 : 지하1층/지상3층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 남서향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1991-05-02
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1AGGnuafJXNNjo5yK70JguDG17-6k58S4&usp=drive_fs,https://map.kakao.com/link/search/구로구가리봉동89-114,KakaoTalk_20241227_112438227_01.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/Fjo3ltDINVG7eAthbMuzPg/m9YwEsdc1SuyaWrsC2tpSIMdqApn4ECnQKnues2098QM-JgZvftR3gbGdyCHbiTxQAbuggge3Ofggony_qiR0t-q2rS7Eo38nI9HM1j2YH8Xgd8H5zIMtwoRKwakGKlLP0ni-ZS9doF2z23FAXYasCVrhqMebsxeR9DsQqcZKOtDn3eoLItlcRMJlnxQfSm0/YAQ3WoADfyDTMN4P_qDba-qS8zk_VH-A3I7M7MAMEfE),
금천구 독산동 939-11,142.30,223.15,제2종일반주거지역,벽돌구조,단독주택,-1/2,0/4/0,0,1990-12-14,신독산역(예정),941,70000,9000,80,61000,1.6,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 신안산선 신독산역(예정)에서 도보 15분 저렴한 다가구 매매
- 공원에 가까운 조용한 주택가 43평 대지
- 재개발 또는 인근 재개발에 따른 이주수요 기대
- 매매금액 : 7억 
- 임대내역 : 보증금 9000만원/월세 80만원 (관리비포함)
- 건물현황 : 지층 투룸 2, 1층 3룸, 2층 3룸
- 대지면적 : 142.3㎡(약43.1평) / 연면적 : 223.15㎡(약67.6평)
- 층수 : 지하1층/지상2층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 남서향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1990-12-14
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1qZ9_JxcJV8SKB-Wol0LYNC6QcKLqXgpc&usp=drive_fs,https://map.kakao.com/link/search/금천구독산동939-11,KakaoTalk_20240923_120951767.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/WpBQZZlxJyNlFzzTh5jarg/BBi6xtJIUPVqURy4-xcRYimsXhRLrCt3EqdAfwxwnP226PPMMswEGgrAkB-lgJ0D2IL0mQUpXoOVbJkIZkZdPUv3neTYp6KMCSQuLjn1hkKpTyCdtAn7f8NupzTn9PGRM3DHgDNrLDPM68FAGz-VVrxTBArZ75yHUzqcfEAThYPL8R9r7KKjV5HSw38BGOhf/Ku7EErN5tuaH4GJExEYIiQEnk8ySolY6xK6SiR1cblM),
구로구 구로동 552-36,94.00,143.86,제2종일반주거지역,벽돌구조,단독주택,-1/2,0/0/0,0,1987-11-21,신도림역,866,75000,23000,13,52000,0.3,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 신도림역, 구로역 도보 역세권 투자가치 매우 높은 단독주택 매매
- 영등포 재개발 호재로 지가 상승지역
- 신도림역, 구로역 모두 15분 이내 이동 가능
- 매매금액 : 7억 5000만원
- 임대내역 : 보증금 2억 3000만원/월세 13만원 (관리비포함)
- 건물현황 : 지층 원룸1, 투룸1, 1층 3룸 1, 2층 3룸 (옥탑함께 사용)
- 대지면적 : 94㎡(약28.5평) / 연면적 : 143.86㎡(약43.6평)
- 층수 : 지하1층/지상2층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 남동향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1987-11-21
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1kTD1Kbclf3wlzSYo00J7XWw26jC8g6SK&usp=drive_fs,https://map.kakao.com/link/search/구로구구로동552-36,20240823_153427.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/szBZjyLGCM0bTqbUikK8_g/mTnB9BRJ_BO3Dw2jaD_-XCeAG-Yj4i4efv685HD5Xh0FB7TP5q3FcBme05M0cfW3cpgXuogwq0DeOVAz3Y_sRd8vuV1jrt4skjQf3Ca621r9iK-0C6ofOmwqr3h3y2O68J_GIDS8MRxUcF7qnJdOk-2TryNl-VRldnuP1GXa61A/g6Qe_xJdxenaJxV6V3uRm9oOa2uO1IURj1TAw6d_6e0),
구로구 구로동 409-106,150.00,43.24,제2종일반주거지역,벽돌구조,단독주택,-0/1,0/1/0,0,1966-04-07,구로역,1100,77000,23000,,54000,0.0,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 구로동 자치구 추천 신통기획 지역 단층 단독주택 매매
- 실거주 위한 입주 협의 가능
- 평단가 1700만원 저렴한 내집마련 기회
- 매매금액 : 7억 7000만원
- 임대내역 : 보증금 2억 3000만원
- 건물현황 : 단층 방2, 화1, 넓은 거실, 베란다, 마당
- 대지면적 : 150㎡(약45.5평) / 연면적 : 43.24㎡(약13.1평)
- 층수 : 지상1층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 남향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1966-04-07
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1fEB3O_xiWpPWMrVawLy7eHhYQ2SrxfCe&usp=drive_fs,https://map.kakao.com/link/search/구로구구로동409-106,KakaoTalk_20250823_191833164_04.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/s2M4Lp1kDAJB0HGzlQpvAA/Tol9c0Wa2xSBfS1WULcCqeHFxfvNoUoManRCDrLz-NyoEK8ky77GIoPCuosUv2UbAiMC9t6gPlIoLnD-tIKGA3d44j66xICZdksH19ADZvnu-MqbZxl4lJWgKdT8A6dYxqFpc-CAKe6lb3VQtw19XLIyH5bWhs488gQViDCHHPRPQs0nVKaR_fMlLPKMmRoF/y7rN_zt_qKvU7WeXbuE0g3f9fmrxS2vQsT1BBazVPwQ),
영등포구 대림동 748-17,116.00,166.10,제2종일반주거지역,벽돌구조,단독주택,-1/3,0/0/0,0,1975-07-15,대림역,769,85000,17000,,68000,0.0,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 2/7호선 더블 대림역에서 도보 약 10분 관리 잘 된 구옥 매매
- 신안산선 신풍역에서 500여m 거리
- 2000세대 이상 대단지 신풍역더샵 인근으로 인프라 누릴 수 있는 곳
- 매매금액 : 8억 5000만원
- 임대내역 : 보증금 1억 7000만원
- 건물현황 : 지층 원룸 2, 1층 원룸1, 투룸1, 2층 3룸 1, 옥탑 원룸1
- 대지면적 : 116㎡(약35.2평) / 연면적 : 166.1㎡(약50.3평)
- 층수 : 지하1층/지상3층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 남동향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1975-07-15
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/drive/folders/1bbaqIgv5A_eFiMdpGOwNax6YaFEP8V-N?usp=drive_link,https://map.kakao.com/link/search/영등포구대림동748-17,KakaoTalk_20240823_120251910_02.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/gCGrWNKg0fXEMALfwoJvYw/HkIX2Et0ow7XKojKhJpoaphma529xSEPu9UG5v_49TqjKl6mhrAldNm6wQc45qBuNmIfsW5EbLbZmmya0b6e0Y1BKkMqtZTxDovKcQosufnyYuPB7SFKw7XLaQjl7wACTH8PlK-1ANxLC0dNwyw6QJ7W6lJgsnOLSyyWj6mWrJVkjWcRAMPYRMstnlaQBEYm/UMFvdZn5rr13nV1ehIZB09eEg2uGJFle-dB_SIxCbVc),
관악구 신림동 1464-22,90.90,192.13,제3종일반주거지역,철근콘크리트구조,단독주택,-1/4,0/2/0,0,1993-09-03,신림역,376,88000,11000,55,77000,0.9,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 신림역 도보 ７분 남부순환로 대로변 저렴한 소형주택 매매
- 상가와 투룸 구성으로 실거주와 관리 가능
- 좋은 입지에 저렴한 투자가치 높은 매물
- 매매금액 : 8억 8000만원
- 임대내역 : 보증금 1억 1000만원/월세 55만원 (관리비포함)
- 건물현황 : 지층 공실, 1층 상가 2호, 2층 투룸 1, 3층 투룸 1
- 대지면적 : 90.9㎡(약27.5평) / 연면적 : 192.13㎡(약58.2평)
- 층수 : 지하1층/지상4층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 남향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제3종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1993-09-03
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1hxajat-DwcVVKxLHhGMSAITND9oAMUEq&usp=drive_fs,https://map.kakao.com/link/search/관악구신림동1464-22,KakaoTalk_20250822_142159657_01.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/mNKqzJWDLdiivlfKimiZeA/JHqCywpAnkx0HsWj33w5ZpzDlv6Pt6BeeVCTNTDNU-lSKL6i-adbxNwznl9blCgqwiSN2tBlvtbMGsZ5NJw31IsY7KI24FpR3palu2gmoPJVbbJCZf9OpB2GGJfLMdepL4UvBL7zh33eZ9c2ZYTsNka54e2N_6AMCXwo9ZkBWjjN6hCJUnxD6_-PLME2g0EA/r87zDJQXnttdNtU2xHHoIBmyWo3C-xNcfxXsf7W6A54),
구로구 고척동 52-183,155.00,229.50,제2종일반주거지역,벽돌구조,단독주택,-1/2,0/1/0,0,1988-06-08,구일역,980,90000,1800,203,88200,2.8,"↑ 위 매물번호를 알려주시면 빠른 상담가능합니다 ↑
-----------------------------------------------------------
♣ 금토끼공인중개사사무소 TEL. 02.3471.7377
금토끼부동산과 함께 안전하고 행복한 부자되세요.
-----------------------------------------------------------
* 상세정보 *
- 구일역,양천구청역 인근 47평 위치좋은 단독주택 매매
- 대규모 목동 재건축 수혜 가능
- 고척돔구장, 동양미래대학근처, 성심병원, 안양천등 편의시설 다수 살기 좋은곳
- 매매금액 : 9억 
- 임대내역 : 보증금 1800만원/월세 203만원 (관리비포함)
- 건물현황 : 지층 원룸 4, 1층 투룸 2, 2층 방3/화1 (옥탑 내부 연결)
- 대지면적 : 155㎡(약47평) / 연면적 : 229.5㎡(약69.5평)
- 층수 : 지하1층/지상2층
- 주차 : 0대
- 승강기 : 없음
- 방향 : 서향 (주출입구 기준, 호실별 상이함)
- 주용도 : 단독주택
- 용도지역 : 제2종일반주거지역
- 위반건축물 : X
- 사용승인일 : 1988-06-08
-------------------------------------------------------------
♣ 금토끼부동산은
- 고객 니즈에 맞는 친절하고 자세한 상담드립니다.
- 실제매물, 현장사진으로 확인매물로만 알려드립니다.
- 정확한 권리분석과 고객님의 자산안전에 중점을 두고 중개합니다.
♣ 금토끼부동산 위치 : 7호선 남성역 2번출구에서 직진 도보2분
♣ 매물 보기, 상담 신청 : https://goldenrabbit.biz
-------------------------------------------------------------
본 매물은 공인중개사법 제18조 제2·3항에 따라
최초 게시 시 실매물임을 확인하였으나,
현재 시점에서는 거래 완료 등 정보가 변경되었을 수 있습니다.",https://drive.google.com/open?id=1i79Lwlm755Ik-gjlXj1CDhqowzxdc49l&usp=drive_fs,https://map.kakao.com/link/search/구로구고척동52-183,20241024_145135.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1758024000000/bY9D_VvQZgzSlFBYCDgm7Q/kvJ8ubB4k40vqcgR3x_8XSh0kjxWxnX6-ggzZm7JwwQbKnkOp7ciF4IuB7sAS_H-NhxTURqKlYfgJPCIJRGJ40q8lvNX0KRzJIUE4-7icAZ9XaZoCb5IjP4g6ZYABOjgkkzPq0vr6z0Z8BiqEaMDnA5XvtFVKFX48AQpePNPdqo/Eyk2Zo54SAXg9GM0UDNVtsUtUcCxRACY0nXWlTpZfJo),
